year,make,model,trim,body,seats,msrp,fuel
2020,Acura,ILX,Technology and A-SPEC Packages,Sedan,5,31650,premium unleaded (recommended)
2020,Acura,ILX,Premium and A-SPEC Packages,Sedan,5,29750,premium unleaded (recommended)
2020,Acura,ILX,Technology Package,Sedan,5,29650,premium unleaded (recommended)
2020,Acura,ILX,Premium Package,Sedan,5,27750,premium unleaded (recommended)
2020,Acura,ILX,Base,Sedan,5,25900,premium unleaded (recommended)
2020,Acura,MDX,SH-AWD,SUV,7,46500,premium unleaded (recommended)
2020,Acura,MDX,Sport Hybrid SH-AWD,SUV,6,59750,premium unleaded (recommended)
2020,Acura,MDX,Sport Hybrid SH-AWD,SUV,7,53000,premium unleaded (recommended)
2020,Acura,MDX,SH-AWD PMC Edition,SUV,6,61750,premium unleaded (recommended)
2020,Acura,MDX,SH-AWD A-Spec,SUV,7,55000,premium unleaded (recommended)
2020,Acura,MDX,SH-AWD,SUV,7,60250,premium unleaded (recommended)
2020,Acura,MDX,SH-AWD,SUV,6,58250,premium unleaded (recommended)
2020,Acura,MDX,SH-AWD,SUV,6,53500,premium unleaded (recommended)
2020,Acura,MDX,SH-AWD,SUV,7,51500,premium unleaded (recommended)
2020,Acura,MDX,Base,SUV,6,56250,premium unleaded (recommended)
2020,Acura,MDX,Base,SUV,7,49500,premium unleaded (recommended)
2020,Acura,MDX,Base,SUV,7,44500,premium unleaded (recommended)
2020,Acura,NSX,Base,Coupe,2,157500,premium unleaded (required)
2020,Acura,RDX,Base,SUV,5,37800,premium unleaded (recommended)
2020,Acura,RDX,Base,SUV,5,41000,premium unleaded (recommended)
2020,Acura,RDX,Base,SUV,5,45900,premium unleaded (recommended)
2020,Acura,RDX,A-Spec,SUV,5,44000,premium unleaded (recommended)
2020,Acura,RDX,SH-AWD,SUV,5,39800,premium unleaded (recommended)
2020,Acura,RDX,SH-AWD,SUV,5,43000,premium unleaded (recommended)
2020,Acura,RDX,SH-AWD,SUV,5,47900,premium unleaded (recommended)
2020,Acura,RDX,SH-AWD A-Spec,SUV,5,46000,premium unleaded (recommended)
2020,Acura,RLX,Sport Hybrid SH-AWD,Sedan,5,61900,premium unleaded (recommended)
2020,Acura,RLX,P-AWS,Sedan,5,54900,premium unleaded (recommended)
2020,Acura,TLX,SH-AWD PMC Edition,Sedan,5,48950,premium unleaded (recommended)
2020,Acura,TLX,SH-AWD A-Spec,Sedan,5,44800,premium unleaded (recommended)
2020,Acura,TLX,SH-AWD A-Spec,Sedan,5,44800,premium unleaded (recommended)
2020,Acura,TLX,SH-AWD,Sedan,5,45950,premium unleaded (recommended)
2020,Acura,TLX,SH-AWD,Sedan,5,42100,premium unleaded (recommended)
